id,CIE_10_Id,CIE10_DESC
180,A32.8,Otras formas de listeriosis 
181,A32.9,"Listeriosis, no especificada "
182,A33,Tétanos neonatal 
183,A34,Tétanos obstétrico 
184,A35,Otros tétanos 
185,A36,Difteria
186,A36.0,Difteria faríngea 
187,A36.1,Difteria nasofaríngea 
188,A36.2,Difteria laríngea 
189,A36.3,Difteria cutánea 
190,A36.8,Otras difterias 
191,A36.9,"Difteria, no especificada "
192,A37,Tos ferina
193,A37.0,Tos ferina debida a Bordetella pertussis 
194,A37.1,Tos ferina debida a Bordetella parapertussis 
195,A37.8,Tos ferina debida a otras especies de Bordetella 
196,A37.9,"Tos ferina, no especificada "
197,A38,Escarlatina 
198,A39,Infección meningocócica
199,A39.0,Meningitis meningocócica 
200,A39.1,Síndrome de Waterhouse-Friderichsen 
201,A39.2,Meningococemia aguda 
202,A39.3,Meningococemia crónica 
203,A39.4,"Meningococemia, no especificada "
204,A39.5,Enfermedad cardíaca debida a meningococo 
205,A39.8,Otras formas de enfermedad meningocócica 
206,A39.9,"Enfermedad meningocócica, no especificada "
207,A40,Sepsis estreptocócica
208,A40.0,"Sepsis debida a estreptococo, grupo A "
209,A40.1,"Sepsis debida a estreptococo, grupo B "
210,A40.2,"Sepsis debida a estreptococo, grupo D "
211,A40.3,Sepsis debida a Streptococcus pneumoniae 
212,A40.8,Otras Sepsis estreptocócicas 
213,A40.9,"Sepsis estreptocócica, no especificada "
214,A41,Otras sepsis
215,A41.0,Sepsis debida a Staphylococcus aureus 
216,A41.1,Sepsis debida a otro estafilococo especificado 
217,A41.2,Sepsis debida a estafilococo no especificado 
218,A41.3,Sepsis debida a Haemophilus influenzae 
219,A41.4,Sepsis debida a anaerobios 
220,A41.5,Sepsis debida a otros organismos gramnegativos 
221,A41.8,Otras Sepsis especificadas 
222,A41.9,"Sepsis, no especificada "
223,A42,Actinomicosis
224,A42.0,Actinomicosis pulmonar 
225,A42.1,Actinomicosis abdominal 
226,A42.2,Actinomicosis cervicofacial 
227,A42.7,Sepsis actinomicótica 
228,A42.8,Otras formas de actinomicosis 
229,A42.9,"Actinomicosis, sin otra especificación "
230,A43,Nocardiosis
231,A43.0,Nocardiosis pulmonar 
232,A43.1,Nocardiosis cutánea 
233,A43.8,Otras formas de nocardiosis 
234,A43.9,"Nocardiosis, no especificada "
235,A44,Bartonelosis
236,A44.0,Bartonelosis sistémica 
237,A44.1,Bartonelosis cutánea y mucocutánea 
238,A44.8,Otras formas de bartonelosis 
239,A44.9,"Bartonelosis, no especificada "
240,A46,Erisipela 
241,A48,"Otras enfermedades bacterianas, no clasificadas bajo otro concepto"
242,A48.0,Gangrena gaseosa 
243,A48.1,Enfermedad de los legionarios 
244,A48.2,Enfermedad de los legionarios no neumónica (fiebre de Pontiac) 
245,A48.3,Síndrome del choque tóxico 
246,A48.4,Fiebre purpúrica brasileña 
247,A48.8,Otras enfermedades bacterianas especificadas 
248,A49,Infección bacteriana de localización no especificada
249,A49.0,"Infección estafilocócica, sin otra especificación "
250,A49.1,"Infección estreptocócica, sin otra especificación "
251,A49.2,"Infección por Haemophilus influenzae, sin otra especificación "
252,A49.3,"Infección por micoplasma, sin otra especificación "
253,A49.8,Otras infecciones bacterianas de sitio no especificado 
254,A49.9,"Infección bacteriana, no especificada "
255,A50,Sífilis congénita
256,A50.0,"Sífilis congénita precoz, sintomática "
257,A50.1,"Sífilis congénita precoz, latente "
258,A50.2,"Sífilis congénita precoz, sin otra especificación "
259,A50.3,Oculopatía sifilítica congénita tardía 
260,A50.4,Neurosífilis congénita tardía [neurosífilis juvenil] 
261,A50.5,"Otras formas de sífilis congénita tardía, sintomática "
262,A50.6,"Sífilis congénita tardía, latente "
263,A50.7,"Sífilis congénita tardía, sin otra especificación "
264,A50.9,"Sífilis congénita, sin otra especificación "
265,A51,Sífilis precoz
266,A51.0,Sífilis genital primaria 
267,A51.1,Sífilis primaria anal 
268,A51.2,Sífilis primaria en otros sitios 
269,A51.3,Sífilis secundaria de piel y membranas mucosas 
270,A51.4,Otras sífilis secundarias 
271,A51.5,"Sífilis precoz, latente "
272,A51.9,"Sífilis precoz, sin otra especificación "
273,A52,Sífilis tardía
274,A52.0,Sífilis cardiovascular 
275,A52.1,Neurosífilis sintomática 
276,A52.2,Neurosífilis asintomática 
277,A52.3,Neurosífilis no especificada 
278,A52.7,Otras sífilis tardías sintomáticas 
279,A52.8,"Sífilis tardía, latente "
280,A52.9,"Sífilis tardía, no especificada "
281,A53,Otras sífilis y las no especificadas
282,A53.0,"Sífilis latente, no especificada como precoz o tardía "
283,A53.9,"Sífilis, no especificada "
284,A54,Infección gonocócica
285,A54.0,Infección gonocócica del tracto genitourinario inferior sin absceso periuretral y de glándula accesoria 
286,A54.1,Infección gonocócica del tracto genitourinario inferior con absceso periuretral y de glándulas accesorias 
287,A54.2,Pelviperitonitis gonocócica y otras infecciones gonocócicas genitourinarias 
288,A54.3,Infección gonocócica del ojo 
289,A54.4,Infección gonocócica del sistema osteomuscular 
290,A54.5,Faringitis gonocócica 
291,A54.6,Infección gonocócica del ano y del recto 
292,A54.8,Otras infecciones gonocócicas 
293,A54.9,"Infección gonocócica, no especificada "
294,A55,Linfogranuloma (venéreo) por clamidias 
295,A56,Otras enfermedades de transmisión sexual debidas a clamidias
296,A56.0,Infección del tracto genitourinario inferior debida a clamidias 
297,A56.1,Infección del pelviperitoneo y otros órganos genitourinarios debida a clamidias 
298,A56.2,"Infecciones del tracto genitourinario debidas a clamidias, sin otra especificación "
299,A56.3,Infección del ano y del recto debida a clamidias 
300,A56.4,Infección de faringe debida a clamidias 
301,A56.8,Infección de transmisión sexual de otros sitios debida a clamidias 
302,A57,Chancro blando 
303,A58,Granuloma inguinal 
304,A59,Tricomoniasis
305,A59.0,Tricomoniasis urogenital 
306,A59.8,Tricomoniasis de otros sitos 
307,A59.9,"Tricomoniasis, no especificada "
308,A60,Infección anogenital debida a virus del herpes [herpes simple]
309,A60.0,Infección de genitales y trayecto urogenital debida a virus del herpes [herpes simple] 
310,A60.1,Infección de la piel perianal y recto por virus del herpes simple 
311,A60.9,"Infección anogenital por virus del herpes simple, sin otra especificación "
312,A63,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas bajo otro concepto"
313,A63.0,Verrugas (venéreas) anogenitales 
314,A63.8,"Otras enfermedades de transmisión predominantemente sexual, especificadas "
315,A64,Enfermedad de transmisión sexual no especificada 
316,A65,Sífilis no venérea 
317,A66,Pian
318,A66.0,Lesiones iniciales de frambesia 
319,A66.1,Lesiones papilomatosas múltiples y frambesia con paso de cangrejo 
320,A66.2,Otras lesiones precoces de la piel en la frambesia 
321,A66.3,Hiperqueratosis de frambesia 
322,A66.4,Goma y úlceras de frambesia 
323,A66.5,Gangosa 
324,A66.6,Lesiones frambésicas de los huesos y de las articulaciones 
325,A66.7,Otras manifestaciones de frambesia 
326,A66.8,Frambesia latente 
327,A66.9,"Frambesia, no especificada "
328,A67,Pinta [carate]
329,A67.0,Lesiones primarias de la pinta 
330,A67.1,Lesiones intermedias de la pinta 
331,A67.2,Lesiones tardías de la pinta 
332,A67.3,Lesiones mixtas de la pinta 
333,A67.9,"Pinta, no especificada "
334,A68,Fiebre recidivante
335,A68.0,Fiebre recurrente transmitida por piojos 
336,A68.1,Fiebre recurrente transmitida por garrapatas 
337,A68.9,"Fiebre recurrente, no especificada "
338,A69,Otras infecciones por espiroquetas
339,A69.0,Estomatitis ulcerativa necrotizante 
340,A69.1,Otras infecciones de Vincent 
341,A69.2,Enfermedad de Lyme 
342,A69.8,Otras infecciones especificadas por espiroquetas 
343,A69.9,"Infección por espiroqueta, no especificada "
344,A70,Clamidia psittaci infecciones 
345,A71,Tracoma
346,A71.0,Etapa inicial del tracoma
347,A71.1,Etapa activa del tracoma
348,A71.9,"Tracoma, no especificado"
349,A74,Otras enfermedades causadas por clamidias
350,A74.0,Conjuntivitis por clamidia
351,A74.8,Otras enfermedades por clamidia
352,A74.9,"Infección por clamidias, no especificada "
353,A75,Fiebre tifoidea
354,A75.0,Tifus epidémico debido a Rickettsia prowazekii transmitido por piojos 
355,A75.1,Tifus recrudescente [enfermedad de Brill] 
356,A75.2,Tifus debido a Rickettsia typhi 
357,A75.3,Tifus debido a Rickettsia tsutsugamushi 
358,A75.9,"Tifus, no especificado "
359,A77,Fiebre maculosa [rickettsiosis transmitida por garrapatas]
360,A77.0,Fiebre maculosa debida a Rickettsia rickettsii 
361,A77.1,Fiebre maculosa debida a Rickettsia conorii 
362,A77.2,Fiebre maculosa debida a Rickettsia siberica 
363,A77.3,Fiebre maculosa debida a Rickettsia australis 
364,A77.8,Otras fiebres maculosas 
365,A77.9,"Fiebre maculosa, no especificada "
366,A78,Fiebre Q 
367,A79,Otras rickettsiosis
368,A79.0,Fiebre de las trincheras 
369,A79.1,Rickettsiosis pustulosa debida a Rickettsia akari 
370,A79.8,Otras rickettsiosis especificadas 
371,A79.9,"Rickettsiosis, no especificada "
372,A80,Poliomielitis aguda
373,A80.0,"Poliomielitis aguda paralítica, asociada a vacuna "
374,A80.1,Poliomielitis aguda paralítica debida a virus salvaje importado 
375,A80.2,Poliomielitis aguda paralítica debida a virus salvaje autóctono 
376,A80.3,Otras poliomielitis agudas paralíticas y las no especificadas 
377,A80.4,Poliomielitis aguda no paralítica 
378,A80.9,"Poliomielitis aguda, sin otra especificación "
379,A81,Infecciones por virus atípico del sistema nervioso central
380,A81.0,Enfermedad de Creutzfeldt-Jakob 
381,A81.1,Panencefalitis esclerosante subaguda 
382,A81.2,Leucoencefalopatía multifocal progresiva 
383,A81.8,Otras infecciones del sistema nervioso central por virus atípico 
384,A81.9,"Infecciones del sistema nervioso central por virus atípico, sin otra especificación "
385,A82,Rabia
386,A82.9,"Rabia, sin otra especificación "
387,A83,Encefalitis viral transmitida por mosquitos
388,A83.0,Encefalitis japonesa 
389,A83.1,Encefalitis equina del oeste 
390,A83.2,Encefalitis equina del este 
391,A83.3,Encefalitis de San Luis 
392,A83.4,Encefalitis australiana 
393,A83.5,Encefalitis de California 
394,A83.6,Enfermedad por virus Rocío 
395,A83.8,Otras encefalitis virales transmitidas por mosquitos 
396,A84,Encefalitis viral transmitida por garrapatas
397,A84.0,Encefalitis del Lejano Oriente transmitida por garrapatas [encefalitis primaveroestival rusa] 
398,A84.1,Encefalitis centroeuropea transmitida por garrapatas 
399,A84.8,Otras encefalitis virales transmitida por garrapatas 
400,A84.9,"Encefalitis viral transmitida por garrapatas, sin otra especificación "
401,A85,"Otras encefalitis virales, no clasificadas bajo otro concepto"
402,A85.0,Encefalitis enteroviral 
403,A85.1,Encefalitis por adenovirus 
404,A85.2,"Encefalitis viral transmitida por artrópodos, sin otra especifcación "
405,A85.8,Otras encefalitis virales especifcadas 
406,A86,"Encefalitis viral, no especificada "
407,A87,Meningitis viral
408,A87.0,Meningitis enteroviral 
409,A87.1,Meningitis debida a adenovirus 
410,A87.2,Coriomeningitis linfocítica 
411,A87.8,Otras meningitis virales 
412,A87.9,"Meningitis viral, sin otra especificación "
413,A88,"Otras infecciones virales del sistema nervioso central, no clasificadas bajo otro concepto"
414,A88.0,Fiebre exantemática enteroviral [exantema de Boston] 
415,A88.1,Vértigo epidémico 
416,A88.8,Otras infecciones virales especificadas del sistema nervioso central 
417,A89,"Infección viral del sistema nervioso central, no especificada "
418,A92,Otras fiebres virales transmitidas por mosquitos
419,A92.0,enfermedad del virus chikungunya
420,A92.1,Fiebre de Onyong-nyong
421,A92.2,Fiebre equina venezolana 
422,A92.3,Infección por virus del oeste del Nilo 
423,A92.4,Fiebre del valle del Rift 
424,A92.8,Otras fiebres virales especificadas transmitidas por mosquitos 
425,A93,"Otras fiebres virales transmitidas por artrópodos, no clasificadas bajo otro concepto"
426,A93.0,Enfermedad por virus de  Oropouche 
427,A93.1,Fiebre transmitida por flebótomos 
428,A93.2,Fiebre de Colorado transmitida por garrapatas 
429,A93.8,Otras fiebres virales especificadas transmitidas por artrópodos 
430,A94,"Fiebre viral transmitida por artrópodos, no especificada "
431,A95,Fiebre amarilla
432,A95.0,Fiebre amarilla selvática 
433,A95.1,Fiebre amarilla urbana 
434,A95.9,"Fiebre amarilla, no especificada "
435,A96,Fiebre hemorrágica por arenavirus
436,A96.0,Fiebre hemorrágica de Junín 
437,A96.1,Fiebre hemorrágica de Machupo 
438,A96.2,Fiebre de Lassa 
439,A96.8,Otras fiebres hemorrágicas por arenavirus 
440,A96.9,"Fiebre hemorrágica por arenavirus, sin otra especificación "
441,A97,Dengue
442,A97.0,Dengue sin signos de alarma 
443,A97.1,Dengue con señales de advertencia 
444,A97.2,Dengue grave 
445,A97.9,"Dengue, no especificado "
446,A98,"Otras fiebres virales hemorrágicas, no clasificadas bajo otro concepto"
447,A98.0,Fiebre hemorrágica de Crimea-Congo 
448,A98.1,Fiebre hemorrágica de Omsk 
449,A98.2,Enfermedad de la selva Kyasanur 
450,A98.3,Enfermedad por el virus de Marburg 
451,A98.4,Enfermedad por el virus de Ebola 
452,A98.5,Fiebres hemorrágicas con síndrome renal 
453,A98.8,Otras fiebres hemorrágicas virales especificadas 
454,A99,"Fiebre viral hemorrágica, no especificada "
455,B00,Infecciones por herpesvirus [herpes simple]
456,B00.0,Eccema herpético
457,B00.1,Dermatitis vesicular herpética 
458,B00.2,Gingivoestomatitis y faringoamigdalitis herpética 
459,B00.3,Meningitis herpética 
460,B00.4,Encefalitis herpética 
461,B00.5,Oculopatía herpética 
462,B00.7,Enfermedad herpética diseminada 
463,B00.8,Otras formas de infecciones herpéticas 
464,B00.9,"Infección debida al virus del herpes, no especificada "
465,B01,Varicela
466,B01.1,Encefalitis debida a varicela 
467,B01.2,Neumonía debida a varicela 
468,B01.8,Varicela con otras complicaciones 
469,B01.9,Varicela sin complicaciones 
470,B02,Herpes zóster
471,B02.0,Encefalitis debida a herpes zoster 
472,B02.1,Meningitis debida a herpes zoster 
473,B02.2,Herpes zoster con otros compromisos del sistema nervioso 
474,B02.3,Herpes zoster ocular 
475,B02.7,Herpes zoster diseminado 
476,B02.8,Herpes zoster con otras complicaciones 
477,B02.9,Herpes zoster sin complicaciones 
478,B03,Viruela 
479,B04,Viruela de los monos 
480,B05,Sarampión
481,B05.0,Sarampión complicado con encefalitis 
482,B05.1,Sarampión complicado con meningitis 
483,B05.2,Sarampión complicado con neumonía 
484,B05.3,Sarampión complicado con otitis media 
485,B05.4,Sarampión con complicaciones intestinales 
486,B05.8,Sarampión con otras complicaciones 
487,B05.9,Sarampión sin complicaciones 
488,B06,Rubeola [sarampión alemán]
489,B06.0,Rubéola con complicaciones neurológicas 
490,B06.8,Rubéola con otras complicaciones 
491,B06.9,Rubéola sin complicaciones 
492,B07,Verrugas víricas 
493,B08,"Otras infecciones víricas caracterizadas por lesiones de la piel y de las mucosas, no clasificadas bajo otro concepto"
494,B08.0,Otras infecciones debidas a ortopoxvirus 
495,B08.1,Molusco contagioso 
496,B08.2,Exantema súbito [sexta enfermedad] 
497,B08.3,Eritema infeccioso [quinta enfermedad] 
498,B08.4,Estomatitis vesicular enteroviral con exantema 
499,B08.5,Faringitis vesicular enterovírica 
500,B08.8,"Otras infecciones virales especificadas, caracterizadas por lesiones de la piel y de las membranas mucosas "
501,B09,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas "
502,B15,Hepatitis aguda tipo A
503,B15.0,"Hepatitis aguda tipo A, con coma hepático "
504,B15.9,"Hepatitis aguda tipo A, sin coma hepático "
505,B16,Hepatitis aguda tipo B
506,B16.0,"Hepatitis aguda tipo B, con agente delta (coinfección), con coma hepático "
507,B16.1,"Hepatitis aguda tipo B, con agente delta (coinfección), sin coma hepático "
508,B16.2,"Hepatitis aguda tipo B, sin agente delta, con coma hepático "
509,B16.9,"Hepatitis aguda tipo B, sin agente delta y sin coma hepático "
510,B17,Otras hepatitis víricas agudas
511,B17.0,Infección (superinfección) aguda por agente delta en el portador de hepatitis B 
512,B17.1,Hepatitis aguda tipo C 
513,B17.2,Hepatitis aguda tipo E 
514,B17.9,Hepatitis viral aguda no especificada  
515,B18,Hepatitis vírica crónica
516,B18.0,"Hepatitis viral tipo B crónica, con agente delta "
517,B18.1,"Hepatitis viral tipo B crónica, sin agente delta "
518,B18.2,Hepatitis viral tipo C crónica 
519,B18.8,Otras hepatitis virales crónicas 
520,B18.9,"Hepatitis viral crónica, sin otra especificación "
521,B19,"Hepatitis vírica, no especificada"
522,B19.0,Hepatitis viral no especificada con coma hepático 
523,B19.9,Hepatitis viral no especificada sin coma hepático 
524,B20,Enfermedad por virus de la inmunodeficiencia humana [VIH]
525,B20.0,"Enfermedad por VIH, resultante en infección por micobacterias "
526,B20.1,"Enfermedad por VIH, resultante en otras infecciones bacterianas "
527,B20.3,"Enfermedad por VIH, resultante en otras infecciones virales "
528,B20.4,"Enfermedad por VIH, resultante en candidiasis "
529,B20.5,"Enfermedad por VIH, resultante en otras micosis "
530,B20.6,"Enfermedad por VIH, resultante en neumonía por Pneumocystis carinii "
531,B20.8,"Enfermedad por VIH, resultante en otras enfermedades infecciosas o parasitarias "
532,B20.9,"Enfermedad por VIH, resultante en enfermedad infecciosa o parasitaria no especificada "
533,B21,Enfermedad por el virus de la inmunodeficiencia humana [VIH] que da lugar a la categoría de neoplasias malignas
534,B21.0,"Enfermedad por VIH, resultante en sarcoma de Kaposi "
535,B21.2,"Enfermedad por VIH, resultante en otros tipos de linfoma no Hodgkin "
536,B21.9,"Enfermedad por VIH, resultante en tumores malignos no especificados "
537,B22,Enfermedad por el virus de la inmunodeficiencia humana [VIH] que da como resultado otra categoría de enfermedades especificadas
538,B22.0,"Enfermedad por VIH, resultante en encefalopatía "
539,B22.2,"Enfermedad por VIH, resultante en síndrome caquéctico "
540,B23,Enfermedad por el virus de la inmunodeficiencia humana [VIH] que resulta en otra categoría de condiciones
541,B23.0,Síndrome de infección aguda debida a VIH 
542,B23.1,"Enfermedad por VIH, resultante en linfadenopatía generalizada (persistente) "
543,B23.2,"Enfermedad por VIH, resultante en anormalidades inmunológicas y hematológicas, no clasificadas en otra parte "
544,B23.8,"Enfermedad por VIH, resultante en otras afecciones especificadas "
545,B24,Enfermedad por el virus de la inmunodeficiencia humana [VIH] no especificada 
546,B25,Enfermedad por citomegalovirus
547,B25.0,Neumonitis debida a virus citomegálico 
548,B25.1,Hepatitis debida a virus citomegálico 
549,B25.2,Pancreatitis debida a virus citomegálico 
550,B25.8,Otras enfermedades debidas a virus citomegálico 
551,B25.9,"Enfermedad por virus citomegálico, no especificada "
552,B26,Parotiditis infecciosa
553,B26.0,Orquitis por parotiditis 
554,B26.1,Meningitis por parotiditis 
555,B26.2,Encefalitis por parotiditis 
556,B26.3,Pancreatitis por parotiditis 
557,B26.8,Parotiditis infecciosa con otras complicaciones 
558,B26.9,"Parotiditis, sin complicaciones "
559,B27,Mononucleosis infecciosa
